køn	alder	tilflytningskommune	fraflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	5-9 år	København	Frederikssund	4	2	1	4	6	2	1	6	3	4	6	2
Mænd	5-9 år	København	Furesø	6	2	0	4	5	4	7	9	5	4	6	4
Mænd	5-9 år	København	Gribskov	2	3	2	1	8	3	2	4	2	7	2	3
Mænd	5-9 år	København	Halsnæs	2	3	1	0	1	4	3	4	5	2	1	5
Mænd	5-9 år	København	Helsingør	7	7	3	5	7	7	6	8	6	8	3	7
Mænd	5-9 år	København	Hillerød	4	3	2	4	1	2	6	3	8	3	7	1
Mænd	5-9 år	København	Hørsholm	1	2	2	3	1	1	4	7	3	3	2	2
Mænd	5-9 år	København	Rudersdal	3	6	5	7	8	5	6	3	3	2	6	6
Mænd	5-9 år	København	Bornholm	1	7	2	3	0	3	4	4	2	2	2	1
Mænd	5-9 år	København	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Greve	4	1	1	3	7	5	8	6	0	6	4	5
Mænd	5-9 år	København	Køge	9	4	1	1	3	3	7	3	4	3	5	3
Mænd	5-9 år	København	Lejre	0	2	0	2	0	1	2	4	1	1	1	0
Mænd	5-9 år	København	Roskilde	2	5	3	0	8	6	2	3	2	7	4	12
Mænd	5-9 år	København	Solrød	4	2	4	0	2	3	0	0	0	1	2	3
Mænd	5-9 år	København	Faxe	1	3	0	3	4	3	2	5	0	1	1	2
Mænd	5-9 år	København	Guldborgsund	7	11	5	0	1	4	4	4	4	6	1	5
Mænd	5-9 år	København	Holbæk	5	1	8	4	8	6	5	4	4	3	7	6
Mænd	5-9 år	København	Kalundborg	5	2	3	1	1	1	1	4	2	1	2	0
Mænd	5-9 år	København	Lolland	2	2	4	1	3	6	3	2	3	1	2	2
Mænd	5-9 år	København	Næstved	9	4	8	3	4	3	9	5	5	3	3	2
Mænd	5-9 år	København	Odsherred	3	1	2	2	2	3	4	0	0	1	0	2
Mænd	5-9 år	København	Ringsted	1	2	5	2	2	2	4	0	4	2	2	2
Mænd	5-9 år	København	Slagelse	1	6	10	5	8	6	1	10	7	3	2	2
Mænd	5-9 år	København	Sorø	2	2	3	0	3	1	0	0	1	0	2	1
Mænd	5-9 år	København	Stevns	2	0	0	2	2	1	3	3	1	0	2	1
Mænd	5-9 år	København	Vordingborg	0	6	2	5	2	2	2	6	6	3	5	1
Mænd	5-9 år	København	Assens	2	0	0	0	1	0	0	3	0	0	0	0
Mænd	5-9 år	København	Faaborg-Midtfyn	1	0	0	0	2	0	1	0	0	0	0	0
Mænd	5-9 år	København	Kerteminde	0	0	0	0	0	0	1	0	0	0	0	1
Mænd	5-9 år	København	Langeland	0	2	0	0	1	1	0	0	0	0	0	0
Mænd	5-9 år	København	Middelfart	1	1	0	0	1	0	0	1	0	2	0	0
Mænd	5-9 år	København	Nordfyns	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Nyborg	0	0	0	3	2	1	0	1	2	1	0	1
Mænd	5-9 år	København	Odense	6	10	11	6	5	7	8	6	6	5	8	8
Mænd	5-9 år	København	Svendborg	1	3	1	1	3	0	1	2	0	0	2	3
Mænd	5-9 år	København	Ærø	0	0	0	0	0	1	0	0	0	3	0	0
Mænd	5-9 år	København	Billund	0	0	0	0	0	2	0	0	0	0	0	0
Mænd	5-9 år	København	Esbjerg	3	1	0	0	1	0	3	2	1	0	2	1
Mænd	5-9 år	København	Fanø	0	0	0	0	0	0	1	1	0	0	0	0
Mænd	5-9 år	København	Fredericia	1	2	1	0	0	0	0	0	1	0	0	1
Mænd	5-9 år	København	Haderslev	0	0	1	0	2	0	2	0	4	1	0	0
Mænd	5-9 år	København	Kolding	0	2	1	1	0	0	2	1	0	0	2	2
Mænd	5-9 år	København	Sønderborg	1	2	2	0	0	0	1	0	0	4	1	0
Mænd	5-9 år	København	Tønder	0	0	0	0	0	0	0	0	1	0	2	0
Mænd	5-9 år	København	Varde	0	0	1	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Vejen	0	1	0	0	0	0	0	2	0	0	0	0
Mænd	5-9 år	København	Vejle	1	1	4	3	1	0	1	3	5	0	3	5
Mænd	5-9 år	København	Aabenraa	3	1	0	0	0	1	1	0	1	1	1	1
Mænd	5-9 år	København	Favrskov	0	0	1	0	0	0	0	0	0	1	1	0
Mænd	5-9 år	København	Hedensted	0	0	0	1	0	0	0	0	0	0	1	0
Mænd	5-9 år	København	Horsens	0	0	0	1	0	0	1	0	0	1	0	0
Mænd	5-9 år	København	Norddjurs	0	0	0	1	0	0	2	2	1	0	0	1
Mænd	5-9 år	København	Odder	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Randers	0	1	2	0	0	0	1	2	0	1	0	2
Mænd	5-9 år	København	Samsø	0	0	1	0	1	0	0	0	0	1	0	0
Mænd	5-9 år	København	Silkeborg	1	1	2	0	0	2	0	0	5	1	2	0
Mænd	5-9 år	København	Skanderborg	0	0	0	1	0	3	2	0	1	2	0	1
Mænd	5-9 år	København	Syddjurs	0	0	0	1	0	0	0	1	0	1	0	0
Mænd	5-9 år	København	Aarhus	7	9	6	3	3	0	8	9	4	5	6	7
Mænd	5-9 år	København	Herning	0	1	0	1	0	3	5	0	0	2	0	0
Mænd	5-9 år	København	Holstebro	0	0	1	2	2	1	0	1	0	1	1	0
Mænd	5-9 år	København	Ikast-Brande	1	1	0	1	0	0	0	0	1	0	1	0
Mænd	5-9 år	København	Lemvig	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Ringkøbing-Skjern	0	1	0	4	1	1	2	0	0	0	0	0
Mænd	5-9 år	København	Skive	1	3	1	0	0	1	1	0	0	2	0	0
Mænd	5-9 år	København	Struer	0	2	0	0	0	1	1	0	0	1	1	1
Mænd	5-9 år	København	Viborg	3	1	1	3	0	2	4	0	0	0	1	0
Mænd	5-9 år	København	Brønderslev	0	0	1	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Frederikshavn	0	1	0	0	1	4	2	1	0	0	2	0
Mænd	5-9 år	København	Hjørring	0	3	0	0	0	0	0	1	0	0	1	2
Mænd	5-9 år	København	Jammerbugt	0	2	0	2	0	1	0	0	1	0	0	0
Mænd	5-9 år	København	Læsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Mariagerfjord	1	0	0	0	2	0	0	0	1	0	0	0
Mænd	5-9 år	København	Morsø	1	0	0	0	0	0	0	1	0	0	0	1
Mænd	5-9 år	København	Rebild	2	0	1	1	2	0	0	0	2	2	0	0
Mænd	5-9 år	København	Thisted	0	1	1	2	0	0	1	0	0	0	0	0
Mænd	5-9 år	København	Vesthimmerlands	0	0	0	0	0	0	0	0	0	0	0	1
Mænd	5-9 år	København	Aalborg	6	1	4	2	9	3	6	6	4	6	3	1
Mænd	5-9 år	Frederiksberg	København	46	59	49	74	77	50	62	66	97	61	75	58
Mænd	5-9 år	Frederiksberg	Frederiksberg	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	Frederiksberg	Dragør	0	0	0	1	0	1	0	0	0	0	0	0
Mænd	5-9 år	Frederiksberg	Tårnby	0	2	1	1	2	3	0	0	1	0	1	0
Mænd	5-9 år	Frederiksberg	Albertslund	0	0	2	0	1	0	0	2	0	0	0	1
Mænd	5-9 år	Frederiksberg	Ballerup	0	0	0	0	0	1	0	1	0	1	1	1
